Species ID,Common Name,Scientific Name,Taxonomic Group,Status,Elevation Min,Elevation Max,Sensitivity
threatened-49,"Salam Panja","Dactylorhiza hatagirea",medicinal-plants,EN,2800,4000,high
threatened-50,"Kutki / Kour","Picrorhiza kurrooa",medicinal-plants,EN,3000,4500,high
threatened-51,"Spikenard / Jatamansi","Nardostachys jatamansi",medicinal-plants,CR,3500,5000,critical
threatened-52,"Himalayan Yew","Taxus wallichiana",medicinal-plants,EN,2000,3500,high
threatened-53,"Himalayan Fritillary","Fritillaria roylei",medicinal-plants,VU,2500,4000,medium
threatened-54,"Himalayan Trillium","Trillium govanianum",medicinal-plants,EN,2500,3500,high
threatened-55,"Himalayan Blue Poppy","Meconopsis aculeata",plants,EN,3500,4500,high
threatened-56,"Chora / Angelica","Angelica glauca",medicinal-plants,EN,2500,3500,high
threatened-57,"Himalayan Rhubarb","Rheum australe",medicinal-plants,VU,3000,4500,medium
threatened-58,"Gaozaban","Arnebia benthamii",medicinal-plants,EN,3000,4000,high
threatened-59,"Black Cumin","Bunium persicum",medicinal-plants,VU,2000,3000,medium
threatened-60,"Himalayan Yam","Dioscorea deltoidea",medicinal-plants,EN,1500,3000,high
threatened-61,"Yellow Colchicum","Colchicum luteum",medicinal-plants,VU,1500,3000,medium
threatened-62,"Indian Gentian","Gentiana kurroo",medicinal-plants,CR,1500,3000,critical
threatened-63,"Somlata / Ephedra","Ephedra gerardiana",medicinal-plants,NT,2500,4500,low
threatened-64,"Kashmir Sage","Artemisia amygdalina",medicinal-plants,CR,2000,3000,critical
threatened-65,"Brahma Kamal","Saussurea obvallata",plants,LC,3500,5000,low
threatened-66,"Snow Lotus","Saussurea simpsoniana",plants,LC,4500,5500,low
threatened-67,"Dhup","Jurinea macrocephala",medicinal-plants,LC,3000,4000,low
threatened-68,"Himalayan Elm","Ulmus wallichiana",plants,VU,2000,3000,medium
threatened-69,"Chirayita","Swertia chirayita",medicinal-plants,VU,1500,3000,medium
threatened-70,"Poison Aconite","Aconitum chasmanthum",medicinal-plants,CR,2500,4000,critical
threatened-71,"Himalayan Birch","Betula utilis",plants,LC,3000,4000,low
threatened-72,"Chilgoza Pine","Pinus gerardiana",plants,NT,2000,3000,low
threatened-73,"Whorled Solomon's Seal","Polygonatum verticillatum",medicinal-plants,LC,2500,3500,low
threatened-74,"Tendril Solomon's Seal","Polygonatum cirrhifolium",medicinal-plants,LC,2500,3500,low
threatened-75,"Himalayan Paris","Paris polyphylla",medicinal-plants,VU,2000,3000,medium
threatened-76,"Violet Aconite","Aconitum violaceum",medicinal-plants,VU,3000,4500,medium
threatened-77,"Indian Valerian","Valeriana jatamansi",medicinal-plants,LC,1500,3000,low
threatened-78,"Himalayan Bergenia","Bergenia ciliata",medicinal-plants,LC,1500,3000,low
threatened-79,"Giant Fennel","Ferula jaeschkeana",medicinal-plants,LC,2000,3000,low
threatened-80,"Pushkarmool","Inula racemosa",medicinal-plants,VU,2000,3000,medium
threatened-81,"Himalayan Cherry","Prunus prostrata",plants,LC,2500,3500,low
threatened-82,"Webb's Rose","Rosa webbiana",plants,LC,2000,3500,low
threatened-83,"Dwarf Rhododendron","Rhododendron anthopogon",plants,LC,3500,4500,low
threatened-84,"Bell Rhododendron","Rhododendron campanulatum",plants,LC,3000,4000,low
threatened-85,"Kashmir Rowan","Sorbus kashmirica",plants,LC,2500,3500,low
threatened-86,"Himalayan Juniper","Juniperus semiglobosa",plants,LC,3000,4500,low
threatened-87,"Kashmir Corydalis","Corydalis cashmeriana",plants,LC,3000,4000,low
threatened-88,"Snow Columbine","Aquilegia nivalis",plants,LC,3000,4000,low
threatened-89,"Deodar Cedar","Cedrus deodara",plants,LC,1500,2500,low
